days_data,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cambodia,Cameroon,Canada,Cape_Verde,Cases_on_an_international_conveyance_Japan,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa_Rica,Cote_dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands_(Malvinas),Faroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea_Bissau,Guyana,Haiti,Holy_See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,San_Marino,Sao_Tome_and_Principe,Saudi_Arabia,Senegal,Serbia,Seychelles,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Somalia,South_Africa,South_Korea,South_Sudan,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor_Leste,Togo,Trinidad_and_Tobago,Tunisia,Turkey,Turks_and_Caicos_islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Venezuela,Vietnam,Western_Sahara,Yemen,Zambia,Zimbabwe
1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.259481157866306e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
2,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,0,0,0,0,0,0,0,0,1.5582634711877086e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.394135517167987e-7,0,0,0,0,0,0,9.389221736799458e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
3,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,1.423646425451609e-7,0,0,0,0,0,0,0,1.5582634711877086e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90324530962149e-7,0,0,0,0,0,0,2.7755312935879844e-8,0,0,0,0,0,0,0,0,0,0,0,1.7580253858865723e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,0,0,1.5648702894665764e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
4,0,3.4887258335961506e-7,0,0,0,NA,0,2.2474686872548882e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,1.423646425451609e-7,0,0,0,0,0,0,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,0,6.25590400940888e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.580649061924298e-6,0,0,0,0,0,0,2.7755312935879844e-8,0,0,0,0,0,0,0,0,0,0,0,1.7580253858865723e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,0,0,1.8778443473598917e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,0,0,2.197600066894946e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
5,0,3.4887258335961506e-7,0,0,0,NA,0,2.2474686872548882e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,1.423646425451609e-7,0,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.580649061924298e-6,0,0,0,0,0,0,2.7755312935879844e-8,0,0,0,0,0,0,0,0,4.455742623473529e-8,0,0,1.7580253858865723e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,0,0,2.5037924631465222e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
6,0,3.4887258335961506e-7,0,0,0,NA,0,2.2474686872548882e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,2.847292850903218e-7,0,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.511671929854054e-8,0,0,0,0,0,1.580649061924298e-6,0,0,0,0,0,0,2.7755312935879844e-8,0,0,0,0,0,0,0,0,4.455742623473529e-8,0,0,1.7580253858865723e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,0,0,3.442714636826468e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,0,0,NA,0,0,0,0,0,1.2147756957980083e-8,0,0,4.4820422048814994e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
7,0,3.4887258335961506e-7,0,0,0,NA,0,2.2474686872548882e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,2.847292850903218e-7,5.0628976431452036e-8,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,4.3857687068385536e-7,0,0,0,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.511671929854054e-8,0,0,5.241724758081298e-8,0,0,1.580649061924298e-6,0,0,0,0,0,0,2.7755312935879844e-8,0,0,0,0,0,0,0,0,4.455742623473529e-8,0,0,1.7580253858865723e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,0,0,3.7556886947197834e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,0,0,NA,0,0,0,0,0,4.859102783192033e-8,0,0,4.4820422048814994e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
8,0,3.4887258335961506e-7,0,0,0,NA,0,4.4949373745097764e-8,0,0,0,0,0,0,0,1.2394949779350991e-8,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,2.847292850903218e-7,5.0628976431452036e-8,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,0,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.363295880149813e-6,0,0,0,5.419173034194982e-7,0,0,0,0,0,0,0,0,0,0,0,5.511671929854054e-8,0,0,5.241724758081298e-8,0,0,1.580649061924298e-6,0,0,0,0,0,0,2.7755312935879844e-8,0,0,0,0,0,0,0,0,4.455742623473529e-8,0,0,1.7580253858865723e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,2.6330653820677925e-8,0,4.694610868399729e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4104517186520754e-5,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,5.9149607279139953e-8,0,NA,0,0,0,0,0,1.0932981262182075e-7,0,0,6.72306330732225e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
9,0,3.4887258335961506e-7,0,0,6.491449041378508e-8,NA,0,4.4949373745097764e-8,0,0,0,0,0,0,0,1.8592424669026487e-8,0,0,0,0,0,0,0,0,NA,0,4.436309239146348e-7,0,0,0,2.847292850903218e-7,5.0628976431452036e-8,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,3.359412677912816e-8,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.363295880149813e-6,0,0,0,5.419173034194982e-7,0,0,0,0,0,0,0,0,0,0,0,5.511671929854054e-8,0,0,1.5725174274243894e-7,0,0,1.580649061924298e-6,0,0,0,0,0,0,5.551062587175969e-8,0,0,0,0,0,0,0,0,4.455742623473529e-8,0,0,3.5160507717731446e-5,0,0,0,0,2.394135517167987e-7,0,0,0,0,5.266130764135585e-8,0,5.633533042079675e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.820903437304151e-5,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,0,0,0,2.5510289611758175e-7,0,0,6.72306330732225e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
10,0,3.4887258335961506e-7,0,0,6.491449041378508e-8,NA,0,4.4949373745097764e-8,0,0,0,0,0,0,0,1.8592424669026487e-8,0,0,0,0,0,0,0,0,NA,3.00848784676207e-7,4.436309239146348e-7,0,0,0,2.847292850903218e-7,1.5188692929435612e-7,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,1.189511963581997e-8,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,3.359412677912816e-8,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.363295880149813e-6,0,0,0,5.419173034194982e-7,0,0,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,1.5725174274243894e-7,0,0,1.580649061924298e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,5.551062587175969e-8,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,4.455742623473529e-8,0,0,3.5160507717731446e-5,0,0,0,0,2.394135517167987e-7,0,1.4375931470509718e-7,0,0,7.899196146203378e-8,0,6.259481157866306e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.820903437304151e-5,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,0,0,0,3.644327087394025e-7,0,0,6.72306330732225e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
11,0,6.977451667192301e-7,0,0,6.491449041378508e-8,NA,0,4.4949373745097764e-8,0,0,0,0,0,0,0,2.4789899558701982e-8,0,0,0,0,0,0,0,0,NA,3.00848784676207e-7,4.436309239146348e-7,0,0,0,4.2709392763548276e-7,1.5188692929435612e-7,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,0,0,NA,0,0,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,2.379023927163994e-8,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,6.718825355825632e-8,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,1.0236687571688803e-7,0,0,0,0,0,0,0,0,0,0,0,1.8726591760299626e-5,0,0,0,5.419173034194982e-7,0,0,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,1.5725174274243894e-7,0,0,2.370973592886447e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,5.551062587175969e-8,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,1.336722787042059e-7,0,0,3.5160507717731446e-5,0,0,0,0,2.394135517167987e-7,0,1.4375931470509718e-7,0,0,7.899196146203378e-8,0,6.572455215759621e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.820903437304151e-5,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,0,0,0,4.4946700744526305e-7,0,0,6.72306330732225e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
12,0,6.977451667192301e-7,0,0,6.491449041378508e-8,NA,0,4.4949373745097764e-8,0,0,0,0,0,0,0,3.098737444837748e-8,0,0,0,0,0,0,0,0,NA,3.00848784676207e-7,4.436309239146348e-7,0,0,0,4.2709392763548276e-7,1.5188692929435612e-7,0,0,0,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,7.180142597631989e-10,2.014152036453735e-8,NA,0,2.000223625001275e-7,0,0,8.819790339471967e-8,6.25590400940888e-6,0,0,2.379023927163994e-8,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,6.718825355825632e-8,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,1.0236687571688803e-7,0,0,0,0,0,0,0,0,0,0,0,1.8726591760299626e-5,0,0,0,5.419173034194982e-7,0,0,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,2.620862379040649e-7,0,0,2.370973592886447e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,8.326593880763952e-8,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,1.336722787042059e-7,0,0,3.5160507717731446e-5,0,0,0,0,2.394135517167987e-7,0,1.4375931470509718e-7,0,0,1.053226152827117e-7,0,7.1984033315462514e-6,0,0,0,0,0,0,0,0,0,0,0,1.4322371372214943e-7,0,0,0,9.641806874608302e-5,0,0,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,0,0,0,5.345013061511236e-7,0,0,6.72306330732225e-8,0,0,0,0,0,0,0,0,0,NA,0,0,6.92567874075647e-8
13,0,6.977451667192301e-7,0,0,6.491449041378508e-8,NA,0,4.4949373745097764e-8,0,0,0,0,0,0,0,3.098737444837748e-8,0,0,0,0,0,0,0,0,NA,6.01697569352414e-7,4.436309239146348e-7,0,0,0,4.2709392763548276e-7,1.5188692929435612e-7,0,0,3.965698767821701e-8,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,7.180142597631989e-10,4.02830407290747e-8,NA,0,2.000223625001275e-7,0,0,1.7639580678943934e-7,6.25590400940888e-6,0,0,3.568535890745991e-8,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,1.0078238033738447e-7,0,0,0,0,6.03252738767434e-6,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,0,1.0236687571688803e-7,0,0,0,0,0,0,0,0,0,3.4073233600978584e-7,0,1.8726591760299626e-5,0,0,0,5.419173034194982e-7,0,0,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,2.620862379040649e-7,0,0,2.370973592886447e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,8.326593880763952e-8,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,2.2278713117367648e-7,0,0,3.5160507717731446e-5,0,0,0,0,7.18240655150396e-7,0,1.4375931470509718e-7,6.252099142287023e-8,0,1.3165326910338963e-7,0,7.511377389439567e-6,0,0,0,0,0,0,0,0,0,0,0,1.4322371372214943e-7,0,0,0,9.641806874608302e-5,0,4.837058836048858e-7,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,0,0,8.646626553236762e-8,7.167176605208248e-7,3.1788416301099876e-5,0,8.964084409762999e-8,0,0,1.7756202649978298e-8,0,9.347803733512811e-6,0,0,3.4637798601637435e-8,0,NA,0,0,6.92567874075647e-8
14,0,6.977451667192301e-7,0,3.8958003272472275e-5,6.491449041378508e-8,NA,0,6.742406061764665e-8,0,0,0,0,0,0,0,3.098737444837748e-8,0,0,0,2.6104821299445795e-6,0,0,0,0,NA,9.02546354028621e-7,4.436309239146348e-7,0,0,0,4.2709392763548276e-7,1.5188692929435612e-7,0,0,3.965698767821701e-8,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,7.180142597631989e-10,6.042456109361205e-8,NA,0,4.00044725000255e-7,0,0,1.7639580678943934e-7,6.25590400940888e-6,2.522566459115504e-6,0,3.568535890745991e-8,0,0,0,0,0,0,1.557451908999954e-7,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,1.0078238033738447e-7,0,0,0,0,1.809758216302302e-5,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,1.0430223784623388e-7,1.0236687571688803e-7,0,0,0,0,0,0,1.1893859200494785e-5,0,0,3.4073233600978584e-7,0,1.8726591760299626e-5,0,0,1.9457899041134192e-8,5.419173034194982e-7,0,0,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,2.620862379040649e-7,0,0,3.951622654810745e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,1.1102125174351938e-7,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,2.2278713117367648e-7,0,0,3.5160507717731446e-5,0,0,0,0,7.18240655150396e-7,0,4.312779441152915e-7,9.378148713430534e-8,0,1.3165326910338963e-7,0,1.0328143910479404e-5,0,0,0,0,0,0,0,0,0,0,0,1.4322371372214943e-7,0,0,0,1.9283613749216603e-4,0,4.837058836048858e-7,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,0,7.194979631012665e-7,8.646626553236762e-8,9.110817718485063e-7,3.1788416301099876e-5,0,1.1205105512203749e-7,0,0,1.7756202649978298e-8,0,9.347803733512811e-6,0,3.034404073384028e-8,3.4637798601637435e-8,0,NA,0,0,6.92567874075647e-8
15,0,6.977451667192301e-7,0,3.8958003272472275e-5,6.491449041378508e-8,NA,0,6.742406061764665e-8,0,0,0,0,0,0,0,3.098737444837748e-8,0,0,0,2.6104821299445795e-6,0,0,0,0,NA,9.02546354028621e-7,4.436309239146348e-7,0,0,0,4.2709392763548276e-7,1.5188692929435612e-7,8.948243182467743e-8,0,3.965698767821701e-8,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,7.180142597631989e-10,6.042456109361205e-8,NA,0,4.00044725000255e-7,0,0,2.6459371018415897e-7,6.25590400940888e-6,2.522566459115504e-6,0,4.758047854327988e-8,0,0,0,0,0,0,3.114903817999908e-7,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,1.0078238033738447e-7,0,0,0,0,1.809758216302302e-5,5.797838531008609e-8,0,0,0,1.2836904560181976e-6,0,0,1.0430223784623388e-7,1.0236687571688803e-7,0,0,0,0,0,0,1.1893859200494785e-5,0,0,3.4073233600978584e-7,0,1.8726591760299626e-5,0,0,1.9457899041134192e-8,5.419173034194982e-7,0,1.5833306944488426e-7,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,3.6692073306569086e-7,0,0,5.532271716735043e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,1.1102125174351938e-7,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,2.2278713117367648e-7,0,0,3.5160507717731446e-5,0,0,0,0,1.436481310300792e-6,0,4.312779441152915e-7,1.5630247855717558e-7,0,1.3165326910338963e-7,0,1.2205988257839296e-5,0,0,0,0,0,0,0,0,0,0,0,1.4322371372214943e-7,0,0,0,1.9283613749216603e-4,0,4.837058836048858e-7,0,0,0,0,0,0,2.392256762449358e-8,0,0,0,1.1829921455827991e-7,0,NA,0,0,1.267572676913217e-7,7.194979631012665e-7,2.5939879659710283e-7,1.1175936401341676e-6,3.1788416301099876e-5,0,1.1205105512203749e-7,0,0,1.7756202649978298e-8,0,9.347803733512811e-6,0,3.034404073384028e-8,3.4637798601637435e-8,0,NA,0,0,6.92567874075647e-8
16,0,1.3954903334384603e-6,0,5.194400436329637e-5,6.491449041378508e-8,NA,0,8.989874749019553e-8,0,0,0,0,0,2.593092002904263e-6,0,3.098737444837748e-8,0,0,0,2.6104821299445795e-6,0,0,0,0,NA,9.02546354028621e-7,4.436309239146348e-7,0,0,0,4.2709392763548276e-7,1.5188692929435612e-7,8.948243182467743e-8,0,3.965698767821701e-8,0,1.8390229638797499e-6,0,1.5582634711877086e-5,0,0,0,1.4360285195263978e-9,8.05660814581494e-8,NA,0,4.00044725000255e-7,0,0,2.6459371018415897e-7,6.25590400940888e-6,2.522566459115504e-6,0,4.758047854327988e-8,0,0,0,0,0,0,3.114903817999908e-7,0,0,0,0,0,NA,0,0,0,0,0,4.7185948024678253e-7,4.3857687068385536e-7,0,0,1.679706338956408e-7,0,0,0,0,1.809758216302302e-5,5.797838531008609e-8,3.173293561387364e-5,0,0,1.2836904560181976e-6,0,0,2.0860447569246776e-7,4.094675028675521e-7,0,0,0,0,0,0,1.1893859200494785e-5,0,0,3.4073233600978584e-7,0,1.8726591760299626e-5,0,5.471507426011951e-8,1.9457899041134192e-8,5.419173034194982e-7,0,1.5833306944488426e-7,0,0,0,0,1.497327196088622e-7,0,0,0,0,1.1023343859708107e-7,0,0,3.6692073306569086e-7,0,0,5.532271716735043e-6,0,2.820172013571796e-7,0,0,1.6068257959813286e-6,0,1.387765646793992e-7,0,1.861906318369782e-8,0,0,0,0,0,1.5466676812806656e-7,2.2278713117367648e-7,0,0,3.5160507717731446e-5,0,0,0,0,1.436481310300792e-6,0,4.312779441152915e-7,1.5630247855717558e-7,0,1.3165326910338963e-7,9.725959422130175e-8,1.3144910431519242e-5,0,0,0,0,0,0,0,0,0,0,0,1.4322371372214943e-7,0,0,0,1.9283613749216603e-4,0,4.837058836048858e-7,0,0,0,0,0,0,2.392256762449358e-8,1.736138238271084e-6,0,0,1.1829921455827991e-7,0,NA,0,0,1.267572676913217e-7,1.438995926202533e-6,2.5939879659710283e-7,1.311957751461849e-6,3.1788416301099876e-5,0,1.7928168819525998e-7,0,0,1.7756202649978298e-8,0,9.347803733512811e-6,2.8991397962310604e-7,6.068808146768056e-8,3.4637798601637435e-8,0,NA,0,5.7630835539921974e-8,6.92567874075647e-8
